Team 1,Team 2,Winner,Margin,Ground,Match Date
Bangladesh,Zimbabwe,Bangladesh,43 runs,Khulna,"Nov 28, 2006"
Kenya,Bangladesh,Bangladesh,5 wickets,Nairobi (Gym),"Sep 1, 2007"
Bangladesh,Pakistan,Pakistan,30 runs,Nairobi (Gym),"Sep 2, 2007"
Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,"Sep 13, 2007"
South Africa,Bangladesh,South Africa,7 wickets,Cape Town,"Sep 15, 2007"
Australia,Bangladesh,Australia,9 wickets,Cape Town,"Sep 16, 2007"
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007"
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007"
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008"
South Africa,Bangladesh,South Africa,12 runs,Johannesburg,"Nov 5, 2008"
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009"
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,"Jun 8, 2009"
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,"Aug 2, 2009"
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,"Feb 3, 2010"
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,"May 1, 2010"
Australia,Bangladesh,Australia,27 runs,Bridgetown,"May 5, 2010"
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,"Oct 11, 2011"
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Nov 29, 2011"
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,"Jul 18, 2012"
Ireland,Bangladesh,Bangladesh,1 run,Belfast,"Jul 20, 2012"
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,"Jul 21, 2012"
Bangladesh,Scotland,Scotland,34 runs,The Hague,"Jul 24, 2012"
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,"Jul 25, 2012"
Netherlands,Bangladesh,Netherlands,1 wicket,The Hague,"Jul 26, 2012"
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,"Sep 21, 2012"
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,"Sep 25, 2012"
Bangladesh,West Indies,West Indies,18 runs,Mirpur,"Dec 10, 2012"
Sri Lanka,Bangladesh,Sri Lanka,17 runs,Pallekele,"Mar 31, 2013"
Zimbabwe,Bangladesh,Zimbabwe,6 runs,Bulawayo,"May 11, 2013"
Zimbabwe,Bangladesh,Bangladesh,34 runs,Bulawayo,"May 12, 2013"
Bangladesh,New Zealand,New Zealand,15 runs,Mirpur,"Nov 6, 2013"
Bangladesh,Sri Lanka,Sri Lanka,2 runs,Chattogram,"Feb 12, 2014"
Bangladesh,Sri Lanka,Sri Lanka,3 wickets,Chattogram,"Feb 14, 2014"
Bangladesh,Afghanistan,Bangladesh,9 wickets,Mirpur,"Mar 16, 2014"
Bangladesh,Nepal,Bangladesh,8 wickets,Chattogram,"Mar 18, 2014"
Bangladesh,Hong Kong,Hong Kong,2 wickets,Chattogram,"Mar 20, 2014"
Bangladesh,West Indies,West Indies,73 runs,Mirpur,"Mar 25, 2014"
Bangladesh,India,India,8 wickets,Mirpur,"Mar 28, 2014"
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Mar 30, 2014"
Bangladesh,Australia,Australia,7 wickets,Mirpur,"Apr 1, 2014"
West Indies,Bangladesh,no result,,Basseterre,"Aug 27, 2014"
Bangladesh,Pakistan,Bangladesh,7 wickets,Mirpur,"Apr 24, 2015"
Bangladesh,South Africa,South Africa,52 runs,Mirpur,"Jul 5, 2015"
Bangladesh,South Africa,South Africa,31 runs,Mirpur,"Jul 7, 2015"
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Mirpur,"Nov 13, 2015"
Bangladesh,Zimbabwe,Zimbabwe,3 wickets,Mirpur,"Nov 15, 2015"
Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna,"Jan 15, 2016"
Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna,"Jan 17, 2016"
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna,"Jan 20, 2016"
Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna,"Jan 22, 2016"
Bangladesh,India,India,45 runs,Mirpur,"Feb 24, 2016"
Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur,"Feb 26, 2016"
Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur,"Feb 28, 2016"
Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur,"Mar 2, 2016"
Bangladesh,India,India,8 wickets,Mirpur,"Mar 6, 2016"
Bangladesh,Netherlands,Bangladesh,8 runs,Dharamsala,"Mar 9, 2016"
Bangladesh,Ireland,no result,,Dharamsala,"Mar 11, 2016"
Bangladesh,Oman,Bangladesh,54 runs,Dharamsala,"Mar 13, 2016"
Bangladesh,Pakistan,Pakistan,55 runs,Kolkata,"Mar 16, 2016"
Australia,Bangladesh,Australia,3 wickets,Bengaluru,"Mar 21, 2016"
India,Bangladesh,India,1 run,Bengaluru,"Mar 23, 2016"
Bangladesh,New Zealand,New Zealand,75 runs,Kolkata,"Mar 26, 2016"
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,"Jan 3, 2017"
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,"Jan 6, 2017"
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,"Jan 8, 2017"
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Apr 4, 2017"
Sri Lanka,Bangladesh,Bangladesh,45 runs,Colombo (RPS),"Apr 6, 2017"
South Africa,Bangladesh,South Africa,20 runs,Bloemfontein,"Oct 26, 2017"
South Africa,Bangladesh,South Africa,83 runs,Potchefstroom,"Oct 29, 2017"
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 15, 2018"
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018"
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018"
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),"Mar 10, 2018"
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018"
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),"Mar 16, 2018"
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018"
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,"Jun 3, 2018"
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,"Jun 5, 2018"
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,"Jun 7, 2018"
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,"Jul 31, 2018"
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,"Aug 4, 2018"
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,"Aug 5, 2018"
Bangladesh,West Indies,West Indies,8 wickets,Sylhet,"Dec 17, 2018"
Bangladesh,West Indies,Bangladesh,36 runs,Mirpur,"Dec 20, 2018"
Bangladesh,West Indies,West Indies,50 runs,Mirpur,"Dec 22, 2018"
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,"Sep 13, 2019"
Bangladesh,Afghanistan,Afghanistan,25 runs,Mirpur,"Sep 15, 2019"
Bangladesh,Zimbabwe,Bangladesh,39 runs,Chattogram,"Sep 18, 2019"
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Sep 21, 2019"
India,Bangladesh,Bangladesh,7 wickets,Delhi,"Nov 3, 2019"
India,Bangladesh,India,8 wickets,Rajkot,"Nov 7, 2019"
India,Bangladesh,India,30 runs,Nagpur,"Nov 10, 2019"
Pakistan,Bangladesh,Pakistan,5 wickets,Lahore,"Jan 24, 2020"
Pakistan,Bangladesh,Pakistan,9 wickets,Lahore,"Jan 25, 2020"
Bangladesh,Zimbabwe,Bangladesh,48 runs,Mirpur,"Mar 9, 2020"
Bangladesh,Zimbabwe,Bangladesh,9 wickets,Mirpur,"Mar 11, 2020"
New Zealand,Bangladesh,New Zealand,66 runs,Hamilton,"Mar 28, 2021"
New Zealand,Bangladesh,New Zealand,28 runs,Napier,"Mar 30, 2021"
New Zealand,Bangladesh,New Zealand,65 runs,Auckland,"Apr 1, 2021"
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Jul 22, 2021"
Zimbabwe,Bangladesh,Zimbabwe,23 runs,Harare,"Jul 23, 2021"
Zimbabwe,Bangladesh,Bangladesh,5 wickets,Harare,"Jul 25, 2021"
Bangladesh,Australia,Bangladesh,23 runs,Mirpur,"Aug 3, 2021"
Bangladesh,Australia,Bangladesh,5 wickets,Mirpur,"Aug 4, 2021"
Bangladesh,Australia,Bangladesh,10 runs,Mirpur,"Aug 6, 2021"
Bangladesh,Australia,Australia,3 wickets,Mirpur,"Aug 7, 2021"
Bangladesh,Australia,Bangladesh,60 runs,Mirpur,"Aug 9, 2021"
Bangladesh,New Zealand,Bangladesh,7 wickets,Mirpur,"Sep 1, 2021"
Bangladesh,New Zealand,Bangladesh,4 runs,Mirpur,"Sep 3, 2021"
Bangladesh,New Zealand,New Zealand,52 runs,Mirpur,"Sep 5, 2021"
Bangladesh,New Zealand,Bangladesh,6 wickets,Mirpur,"Sep 8, 2021"
Bangladesh,New Zealand,New Zealand,27 runs,Mirpur,"Sep 10, 2021"
Bangladesh,Scotland,Scotland,6 runs,Al Amerat,"Oct 17, 2021"
Oman,Bangladesh,Bangladesh,26 runs,Al Amerat,"Oct 19, 2021"
Bangladesh,P.N.G.,Bangladesh,84 runs,Al Amerat,"Oct 21, 2021"
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Oct 24, 2021"
Bangladesh,England,England,8 wickets,Abu Dhabi,"Oct 27, 2021"
Bangladesh,West Indies,West Indies,3 runs,Sharjah,"Oct 29, 2021"
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,"Nov 2, 2021"
Australia,Bangladesh,Australia,8 wickets,Dubai (DSC),"Nov 4, 2021"
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,"Nov 19, 2021"
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,"Nov 20, 2021"
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,"Nov 22, 2021"